threshold,macro_f0.5,macro_precision,macro_recall,singleton_f0.5,single_match_f0.5,multi_match_f0.5,S2_f0.5,S3_f0.5,average_predictions_per_S1,percentage_abstaining,false_positive_singleton_rate
0.61,0.5036,0.5774,0.4383,0.5272,0.3181,0.5131,0.5136,0.507,2.3925,18.6,0.4728
0.62,0.5035,0.5774,0.4378,0.5272,0.3189,0.5128,0.5133,0.5068,2.3889,18.61,0.4728
0.63,0.5032,0.5772,0.4374,0.529,0.317,0.5126,0.513,0.5065,2.3861,18.64,0.471
0.64,0.503,0.577,0.437,0.529,0.317,0.5124,0.5128,0.5063,2.3829,18.66,0.471
0.65,0.5028,0.5769,0.4366,0.529,0.3174,0.5121,0.5126,0.506,2.3798,18.7,0.471
0.66,0.5027,0.5768,0.4363,0.5308,0.3168,0.5119,0.5125,0.5058,2.3777,18.73,0.4692
0.67,0.5027,0.5769,0.4359,0.5308,0.3168,0.5119,0.5125,0.5058,2.3749,18.75,0.4692
0.68,0.5027,0.577,0.4356,0.5308,0.3168,0.5118,0.5124,0.5058,2.3722,18.75,0.4692
0.69,0.5027,0.577,0.4353,0.5308,0.3168,0.5118,0.5124,0.5058,2.3699,18.76,0.4692
0.7,0.5024,0.5769,0.4348,0.5308,0.3164,0.5116,0.5121,0.5055,2.367,18.77,0.4692
0.71,0.5021,0.5766,0.4343,0.5308,0.3164,0.5113,0.5117,0.5052,2.3646,18.79,0.4692
0.72,0.5019,0.5765,0.4338,0.5326,0.3164,0.5109,0.5114,0.5048,2.3618,18.82,0.4674
0.73,0.5019,0.5765,0.4336,0.5344,0.3172,0.5107,0.5112,0.5047,2.3595,18.86,0.4656
0.74,0.5017,0.5764,0.4333,0.5362,0.3172,0.5104,0.511,0.5045,2.3568,18.89,0.4638
0.75,0.5017,0.5765,0.433,0.5362,0.3172,0.5104,0.5109,0.5044,2.3542,18.9,0.4638
0.76,0.5016,0.5765,0.4326,0.5362,0.3172,0.5103,0.5108,0.5043,2.3513,18.9,0.4638
0.77,0.5015,0.5765,0.4321,0.5362,0.3181,0.5101,0.5106,0.5041,2.3487,18.91,0.4638
0.78,0.5012,0.5763,0.4316,0.538,0.3176,0.5097,0.5102,0.5038,2.3454,18.95,0.462
0.79,0.5008,0.576,0.4308,0.538,0.3176,0.5092,0.5097,0.5033,2.3415,18.98,0.462
0.8,0.5004,0.5759,0.43,0.538,0.3166,0.5089,0.5093,0.5028,2.3374,19.01,0.462
0.81,0.4999,0.5754,0.4293,0.538,0.3166,0.5083,0.5088,0.5023,2.3341,19.04,0.462
0.82,0.4995,0.575,0.4288,0.538,0.3166,0.5079,0.5083,0.5019,2.3303,19.09,0.462
0.83,0.4985,0.5741,0.4274,0.538,0.3143,0.5069,0.5073,0.5009,2.325,19.18,0.462
0.84,0.498,0.5736,0.4267,0.538,0.3143,0.5063,0.5068,0.5004,2.321,19.23,0.462
0.85,0.4972,0.5728,0.4256,0.538,0.3151,0.5054,0.5059,0.4995,2.3159,19.28,0.462
0.86,0.4963,0.5721,0.4246,0.538,0.3132,0.5045,0.505,0.4985,2.3115,19.32,0.462
0.87,0.495,0.5708,0.4228,0.538,0.3068,0.5034,0.5036,0.4974,2.3049,19.44,0.462
0.88,0.4939,0.5699,0.4213,0.538,0.3029,0.5024,0.5024,0.4964,2.2981,19.53,0.462
0.89,0.4928,0.569,0.4198,0.538,0.2989,0.5014,0.5012,0.4954,2.291,19.6,0.462
0.9,0.4909,0.5669,0.4178,0.5399,0.2963,0.4993,0.4992,0.4933,2.2828,19.78,0.4601
0.91,0.4892,0.5654,0.4156,0.5399,0.2933,0.4975,0.4974,0.4914,2.2745,19.87,0.4601
0.92,0.487,0.5635,0.4128,0.5417,0.2914,0.4951,0.495,0.4889,2.263,20.02,0.4583
0.93,0.4848,0.5613,0.4099,0.5435,0.2881,0.4927,0.4925,0.4863,2.2516,20.19,0.4565
0.94,0.4826,0.5594,0.4068,0.5435,0.2862,0.4903,0.49,0.484,2.2385,20.29,0.4565
0.95,0.4804,0.5577,0.4035,0.5435,0.2845,0.488,0.4878,0.4816,2.2249,20.37,0.4565
0.96,0.477,0.5554,0.398,0.5435,0.281,0.4844,0.4841,0.4782,2.2013,20.47,0.4565
0.97,0.4737,0.5529,0.3914,0.5453,0.2774,0.4808,0.4805,0.4747,2.1642,20.72,0.4547
0.98,0.4697,0.5522,0.3774,0.5525,0.2723,0.4762,0.4752,0.4706,2.0449,21.44,0.4475
0.99,0.4753,0.5727,0.3505,0.6612,0.2657,0.4761,0.4749,0.4696,1.6465,25.17,0.3388
